site,date,substrate
ARRHON,27-Aug-18,C
ARRHON,27-Aug-18,C
ARRHON,27-Aug-18,C
ARRHON,27-Aug-18,C
ARRHON,27-Aug-18,SLL
ARRHON,27-Aug-18,C
ARRHON,27-Aug-18,SLL
ARRHON,27-Aug-18,C
ARRHON,27-Aug-18,C
ARRHON,27-Aug-18,BG
ARRHON,27-Aug-18,C
ARRHON,27-Aug-18,C
ARRHON,27-Aug-18,C
ARRHON,27-Aug-18,SLL
ARRHON,27-Aug-18,SLL
ARRHON,27-Aug-18,SLL
ARRHON,27-Aug-18,SLL
ARRHON,27-Aug-18,SLL
ARRHON,27-Aug-18,SLL
ARRHON,27-Aug-18,SLL
ARRHON,27-Aug-18,SLL
ARRHON,27-Aug-18,C
ARRHON,27-Aug-18,G
ARRHON,27-Aug-18,SLL
ARRHON,27-Aug-18,C
ARRHON,27-Aug-18,C
ARRHON,27-Aug-18,C
ARRHON,27-Aug-18,C
ARRHON,27-Aug-18,SLL
ARRHON,27-Aug-18,SLL
ARRHON,27-Aug-18,SLL
ARRHON,27-Aug-18,SLL
ARRHON,27-Aug-18,SLL
ARRHON,27-Aug-18,SLL
ARRHON,27-Aug-18,SLL
ARRHON,27-Aug-18,SLL
ARRHON,27-Aug-18,SLL
ARRHON,27-Aug-18,TREE TRUNK
ARRHON,27-Aug-18,SLL
ARRHON,27-Aug-18,SLL
ARRHON,27-Aug-18,SLL
ARRHON,27-Aug-18,SLL
COLSPE,30-Aug-18,C
COLSPE,30-Aug-18,C
COLSPE,30-Aug-18,BG
COLSPE,30-Aug-18,R
COLSPE,30-Aug-18,C
COLSPE,30-Aug-18,G
COLSPE,30-Aug-18,G
COLSPE,30-Aug-18,C
COLSPE,30-Aug-18,R
COLSPE,30-Aug-18,BG
COLSPE,30-Aug-18,G
COLSPE,30-Aug-18,G
COLSPE,30-Aug-18,S
COLSPE,30-Aug-18,S
COLSPE,30-Aug-18,BG
COLSPE,30-Aug-18,BG
COLSPE,30-Aug-18,C
COLSPE,30-Aug-18,C
COLSPE,30-Aug-18,BG
COLSPE,30-Aug-18,BG
COLSPE,30-Aug-18,BG
COLSPE,30-Aug-18,R
COLSPE,30-Aug-18,C
COLSPE,30-Aug-18,R
COLSPE,30-Aug-18,B
COLSPE,30-Aug-18,B
COLSPE,30-Aug-18,B
COLSPE,30-Aug-18,B
COLSPE,30-Aug-18,C
COLSPE,30-Aug-18,C
COLSPE,30-Aug-18,BG
COLSPE,30-Aug-18,R
COLSPE,30-Aug-18,C
COLSPE,30-Aug-18,S
COLSPE,30-Aug-18,B
COLSPE,30-Aug-18,BG
COLSPE,30-Aug-18,BG
COLSPE,30-Aug-18,BG
COLSPE,30-Aug-18,BG
COLSPE,30-Aug-18,G
COLSPE,30-Aug-18,G
COLSPE,30-Aug-18,BG
COLSPW,10-Jul-18,SLL
COLSPW,10-Jul-18,S
COLSPW,10-Jul-18,BG
COLSPW,10-Jul-18,R
COLSPW,10-Jul-18,BG
COLSPW,10-Jul-18,SLL
COLSPW,10-Jul-18,C
COLSPW,10-Jul-18,C
COLSPW,10-Jul-18,C
COLSPW,10-Jul-18,SLL
COLSPW,10-Jul-18,C
COLSPW,10-Jul-18,R
COLSPW,10-Jul-18,S
COLSPW,10-Jul-18,R
COLSPW,10-Jul-18,R
COLSPW,10-Jul-18,B
COLSPW,10-Jul-18,B
COLSPW,10-Jul-18,S
COLSPW,10-Jul-18,B
COLSPW,10-Jul-18,C
COLSPW,10-Jul-18,C
COLSPW,10-Jul-18,C
COLSPW,10-Jul-18,S
COLSPW,10-Jul-18,S
COLSPW,10-Jul-18,SLL
COLSPW,10-Jul-18,C
COLSPW,10-Jul-18,C
COLSPW,10-Jul-18,S
COLSPW,10-Jul-18,S
COLSPW,10-Jul-18,SLL
COLSPW,10-Jul-18,SLL
COLSPW,10-Jul-18,C
COLSPW,10-Jul-18,SLL
COLSPW,10-Jul-18,SLL
COLSPW,10-Jul-18,BG
COLSPW,10-Jul-18,BG
COLSPW,10-Jul-18,BG
COLSPW,10-Jul-18,C
COLSPW,10-Jul-18,BG
COLSPW,10-Jul-18,BG
COLSPW,10-Jul-18,BG
COLSPW,10-Jul-18,C
GOBERN,22-Aug-18,BG
GOBERN,22-Aug-18,G
GOBERN,22-Aug-18,BG
GOBERN,22-Aug-18,G
GOBERN,22-Aug-18,BG
GOBERN,22-Aug-18,R
GOBERN,22-Aug-18,R
GOBERN,22-Aug-18,BG
GOBERN,22-Aug-18,C
GOBERN,22-Aug-18,BG
GOBERN,22-Aug-18,BG
GOBERN,22-Aug-18,BG
GOBERN,22-Aug-18,BG
GOBERN,22-Aug-18,BG
GOBERN,22-Aug-18,BG
GOBERN,22-Aug-18,BG
GOBERN,22-Aug-18,BG
GOBERN,22-Aug-18,R
GOBERN,22-Aug-18,BG
GOBERN,22-Aug-18,S
GOBERN,22-Aug-18,S
GOBERN,22-Aug-18,BG
GOBERN,22-Aug-18,BG
GOBERN,22-Aug-18,BG
GOBERN,22-Aug-18,C
GOBERN,22-Aug-18,C
GOBERN,22-Aug-18,C
GOBERN,22-Aug-18,S
GOBERN,22-Aug-18,C
GOBERN,22-Aug-18,R
GOBERN,22-Aug-18,C
GOBERN,22-Aug-18,C
GOBERN,22-Aug-18,S
GOBERN,22-Aug-18,S
GOBERN,22-Aug-18,C
GOBERN,22-Aug-18,C
