site,date,meter,unit,unit_type,length,width,min_width,depth,description
ARRHON,27-Aug-18,0,1,pool,UNIT,UNIT,UNIT,UNIT,has fish in it
ARRHON,27-Aug-18,10.4,NA,cascade,35,80,40,60,
ARRHON,27-Aug-18,10.8,NA,riffle,70,75,10,9,
ARRHON,27-Aug-18,11.4,NA,pool,210,160,NA,19,
ARRHON,27-Aug-18,10.9,NA,pool,170,80,NA,19,side pool
ARRHON,27-Aug-18,13,NA,riffle,130,40,10,20,
ARRHON,27-Aug-18,14.5,NA,glide,220,155,30,28,
ARRHON,27-Aug-18,15,NA,pool,140,75,NA,21,side pool
ARRHON,27-Aug-18,16.2,NA,riffle,70,115,40,5,
ARRHON,27-Aug-18,16.8,NA,glide,170,130,75,9,
ARRHON,27-Aug-18,18.1,2,riffle,UNIT,UNIT,UNIT,UNIT,
ARRHON,27-Aug-18,20,3,pool,UNIT,UNIT,UNIT,UNIT,fish!
ARRHON,27-Aug-18,26.2,NA,riffle,230,90,5,12,
ARRHON,27-Aug-18,28.7,NA,pool,400,245,NA,33,
ARRHON,27-Aug-18,29.7,NA,riffle,110,50,5,5,
ARRHON,27-Aug-18,30.5,NA,glide,260,100,35,15,
ARRHON,27-Aug-18,31.7,NA,riffle,210,70,15,10,
ARRHON,27-Aug-18,33.3,NA,pool,205,120,NA,25,
ARRHON,27-Aug-18,34.7,NA,pool,205,140,NA,13,
ARRHON,27-Aug-18,36.7,NA,riffle,280,140,10,12,
ARRHON,27-Aug-18,39.1,NA,pool,305,310,NA,60,
ARRHON,27-Aug-18,42.2,NA,riffle,150,190,15,15,
ARRHON,27-Aug-18,43.6,NA,pool,380,225,NA,35,
ARRHON,27-Aug-18,46.8,NA,riffle,130,110,20,10,
ARRHON,27-Aug-18,48,NA,glide,220,130,55,15,
ARRHON,27-Aug-18,49.7,NA,riffle,130,35,15,6,
ARRHON,27-Aug-18,51,NA,pool,350,320,NA,29,
ARRHON,27-Aug-18,52.4,NA,riffle,240,100,15,20,
ARRHON,27-Aug-18,54.6,NA,pool,340,220,NA,33,
ARRHON,27-Aug-18,57.9,4,pool,UNIT,UNIT,UNIT,UNIT,
ARRHON,27-Aug-18,63.5,NA,pool,420,120,NA,29,
ARRHON,27-Aug-18,67.7,5,riffle,UNIT,UNIT,UNIT,UNIT,
ARRHON,27-Aug-18,72.4,NA,glide,330,165,20,20,
ARRHON,27-Aug-18,75.7,NA,riffle,90,30,5,12,
ARRHON,27-Aug-18,76.5,NA,pool,400,165,NA,30,
ARRHON,27-Aug-18,77.6,NA,pool,205,230,NA,24,side pool
ARRHON,27-Aug-18,80.1,NA,glide,260,230,60,25,
ARRHON,27-Aug-18,82.1,NA,riffle,30,25,10,9,
ARRHON,27-Aug-18,82.4,NA,pool,160,120,NA,23,
ARRHON,27-Aug-18,83.9,6,riffle,UNIT,UNIT,UNIT,UNIT,
ARRHON,27-Aug-18,85.5,NA,glide,115,280,85,16,
ARRHON,27-Aug-18,86.6,NA,riffle,140,80,15,6,
ARRHON,27-Aug-18,87.2,NA,pool,130,90,NA,15,side pool
ARRHON,27-Aug-18,87.5,NA,pool,190,90,NA,18,
ARRHON,27-Aug-18,88.5,7,pool,UNIT,UNIT,UNIT,UNIT,
ARRHON,27-Aug-18,89.5,8,riffle,UNIT,UNIT,UNIT,UNIT,ends exactly at 21.2
COLSPE,21-Jun-18,0,1,riffle,UNIT,UNIT,UNIT,UNIT,
COLSPE,21-Jun-18,22.1,NA,pool,110,105,NA,14,This pool + riff are separated...
COLSPE,21-Jun-18,22.1,NA,riffle,200,180,10,19,by a small island.
COLSPE,21-Jun-18,24.1,NA,pool,150,145,NA,29,
COLSPE,21-Jun-18,26,NA,cascade,50,50,35,20,
COLSPE,21-Jun-18,26.8,NA,pool,55,85,NA,20,
COLSPE,21-Jun-18,27.3,NA,cascade,45,90,80,34,
COLSPE,21-Jun-18,27.8,NA,riffle,170,140,65,15,
COLSPE,21-Jun-18,29.6,2,pool,UNIT,UNIT,UNIT,UNIT,
COLSPE,21-Jun-18,30.6,NA,cascade,295,200,15,170,Series of small step pools.
COLSPE,21-Jun-18,34.4,NA,riffle,310,180,15,11,
COLSPE,21-Jun-18,37.5,NA,glide,240,170,115,28,
COLSPE,21-Jun-18,39.9,NA,riffle,180,140,120,10,
COLSPE,21-Jun-18,41.8,3,pool,UNIT,UNIT,UNIT,UNIT,
COLSPE,21-Jun-18,44,4,riffle,UNIT,UNIT,UNIT,UNIT,
COLSPE,21-Jun-18,51.6,NA,pool,50,155,NA,19,
COLSPE,21-Jun-18,52.9,NA,cascade,15,45,30,40,Together on one side of rock island.
COLSPE,21-Jun-18,53.1,NA,riffle,95,90,50,8,Together on one side of rock island.
COLSPE,21-Jun-18,52.9,NA,cascade,90,75,20,30,This cascade is on the other side of the rock island.
COLSPE,21-Jun-18,54,NA,riffle,450,210,60,22,Gets pool-esque.
COLSPE,21-Jun-18,58.5,NA,riffle,120,40,15,8,Separated by rock island.
COLSPE,21-Jun-18,58.5,NA,riffle,180,80,30,10,Separated by rock island.
COLSPE,21-Jun-18,60.4,NA,riffle,330,145,100,18,
COLSPE,21-Jun-18,63.9,NA,pool,210,85,NA,35,Small input from spring in channel wall.
COLSPE,21-Jun-18,65.5,NA,cascade,90,80,40,70,Has step pools.
COLSPE,21-Jun-18,66.7,NA,pool,170,190,NA,28,Trickle that skips into previous riffle (@ 60.4 m).
COLSPE,21-Jun-18,69.3,NA,cascade,25,35,15,20,
COLSPE,21-Jun-18,69.5,NA,pool,80,80,NA,18,
COLSPE,21-Jun-18,69.8,NA,cascade,60,90,45,35,
COLSPE,21-Jun-18,70.5,NA,pool,180,200,NA,31,
COLSPE,21-Jun-18,72.1,NA,cascade,25,55,25,190,
COLSPE,21-Jun-18,73.3,NA,riffle,440,180,115,12,Saw snake at tiny stagnant (umeasured) pool next to this riffle.
COLSPE,21-Jun-18,77.7,NA,pool,120,250,NA,33,
COLSPE,21-Jun-18,79.3,NA,cascade,20,40,35,35,
COLSPE,21-Jun-18,79.6,NA,riffle,550,230,70,8,
COLSPE,21-Jun-18,85.1,NA,pool,75,230,NA,22,
COLSPE,21-Jun-18,86.5,NA,cascade,35,25,15,50,
COLSPE,21-Jun-18,86.9,NA,pool,50,90,NA,21,86.9-87.9 are grouped together on one side of boulders.
COLSPE,21-Jun-18,87.5,NA,cascade,20,40,15,15,
COLSPE,21-Jun-18,87.9,NA,pool,70,60,NA,24,87.9-87.3 are grouped together on the other side of boulders.
COLSPE,21-Jun-18,86.9,NA,cascade,50,20,10,20,
COLSPE,21-Jun-18,87.3,NA,pool,110,80,NA,13,
COLSPE,21-Jun-18,88.4,NA,cascade,90,225,225,50,This cascade is separated by many rocks.
COLSPE,21-Jun-18,88.7,NA,pool,100,60,NA,10,This pool is one the left side of cascade at 88.4.
COLSPE,21-Jun-18,88.4,NA,pool,130,95,NA,20,This pool is on the right side of the cascade at 88.4
COLSPE,21-Jun-18,89.4,5,riffle,UNIT,UNIT,UNIT,UNIT,
COLSPE,21-Jun-18,98.2,NA,pool,115,140,NA,20,
COLSPE,21-Jun-18,99,NA,cascade,100,70,40,40,
COLSPE,21-Jun-18,99,NA,riffle,100,75,45,10,
COLSPW,11-Jul-18,0,1,riffle,UNIT,UNIT,UNIT,UNIT,
COLSPW,11-Jul-18,15.2,2,pool,UNIT,UNIT,UNIT,UNIT,
COLSPW,11-Jul-18,15.9,NA,riffle,190,50,20,20,
COLSPW,11-Jul-18,17.9,NA,cascade,150,30,10,90,
COLSPW,11-Jul-18,19.4,NA,riffle,500,75,30,10,
COLSPW,11-Jul-18,24.4,NA,pool,100,60,NA,20,
COLSPW,11-Jul-18,25,NA,riffle,120,80,15,5,
COLSPW,11-Jul-18,26.3,NA,pool,85,70,NA,16,
COLSPW,11-Jul-18,26.8,NA,cascade,45,45,30,45,
COLSPW,11-Jul-18,27.3,NA,riffle,300,60,30,13,
COLSPW,11-Jul-18,30.1,NA,cascade,15,10,5,20,
COLSPW,11-Jul-18,30.2,3,riffle,UNIT,UNIT,UNIT,UNIT,
COLSPW,11-Jul-18,42,NA,pool,85,45,NA,18,
COLSPW,11-Jul-18,42.4,NA,cascade,15,30,20,20,
COLSPW,11-Jul-18,42.6,4,riffle,UNIT,UNIT,UNIT,UNIT,
COLSPW,11-Jul-18,92.9,5,pool,UNIT,UNIT,UNIT,UNIT,
COLSPW,11-Jul-18,93.8,NA,cascade,105,50,25,150,
COLSPW,11-Jul-18,95.6,NA,pool,105,90,NA,19,
COLSPW,11-Jul-18,96.7,NA,cascade,20,10,10,75,
COLSPW,11-Jul-18,96.8,NA,riffle,32,70,15,8,
GOBERN,23-Aug-18,0,1,pool,UNIT,UNIT,UNIT,UNIT,
GOBERN,23-Aug-18,1.6,NA,cascade,25,20,20,20,
GOBERN,23-Aug-18,1.9,2,riffle,UNIT,UNIT,UNIT,UNIT,
GOBERN,23-Aug-18,49.3,NA,riffle,960,85,50,9,left channel
GOBERN,23-Aug-18,49.3,NA,riffle,950,150,45,10,right channel
GOBERN,23-Aug-18,58.4,NA,riffle,2260,140,45,13,
GOBERN,23-Aug-18,81,3,pool,UNIT,UNIT,UNIT,UNIT,
GOBERN,23-Aug-18,82.9,4,riffle,1710,160,35,15,
HOTSPR,04-Jul-18,0,1,pool,UNIT,UNIT,UNIT,UNIT,
HOTSPR,04-Jul-18,0.9,NA,riffle,120,85,60,11,
HOTSPR,04-Jul-18,1.9,NA,pool,100,90,NA,14,
HOTSPR,04-Jul-18,2.7,NA,cascade,55,70,15,40,
HOTSPR,04-Jul-18,3.2,NA,riffle,105,115,100,10,
HOTSPR,04-Jul-18,4.2,NA,glide,130,80,70,15,
HOTSPR,04-Jul-18,5.6,NA,cascade,25,35,30,10,
HOTSPR,04-Jul-18,5.8,NA,glide,70,90,55,8,
HOTSPR,04-Jul-18,6.4,NA,cascade,50,100,30,20,
HOTSPR,04-Jul-18,6.7,NA,riffle,1290,135,55,8,Braided
HOTSPR,04-Jul-18,19.6,NA,pool,110,90,NA,17,
