stream,date_unit,date_ysi,crew,notes
ARRHON,29-Aug-18,29-Aug-18,KAT; DRH,used a stick to measure sediment depth
COLSPE,20-Jun-18,30-Jul-18,KAT; DRH,densiometer readings taken 30 Jul 2018
COLSPW,20-Jun-18,20-Jun-18,KAT; DRH; SAN,
GOBERN,22-Aug-18,22-Aug-18,KAT; DRH,
HOTSPR,03-Jul-18,30-Jul-18,KAT; DRH,
MARYGN,31-Jul-18,31-Jul-18,KAT; DRH,
RATTLE,26-Jun-18,03-Aug-18,KAT; DRH; SAN,
ROMERO,28-Jun-18,30-Jul-18,KAT; DRH,
SANONO,22-Jul-18,22-Jul-18,KAT + SC,
SANROQ,12-Jul-18,12-Jul-18,KAT; DRH; SAN; SAZ,
SANYSI,16-Jul-18,16-Jul-18,KAT; DRH,
