x,y,Site,Treatment,Unit,Unit type,Code
-120.14145,34.48568,ARRHON,UNB,1,pool,ARRHON-1
-120.14157,34.48524,ARRHON,UNB,2,riff,ARRHON-2
-120.1416,34.48525,ARRHON,UNB,3,pool,ARRHON-3
-120.14151,34.48559,ARRHON,UNB,4,pool,ARRHON-4
-120.14146,34.48569,ARRHON,UNB,5,riff,ARRHON-5
-120.14133,34.48573,ARRHON,UNB,6,riff,ARRHON-6
-120.14133,34.48587,ARRHON,UNB,7,pool,ARRHON-7
-120.14123,34.48588,ARRHON,UNB,8,riff,ARRHON-8
-119.6546,34.45967,COLSPE,BDF,1,riff,COLSPE-1
-119.65414,34.45988,COLSPE,BDF,2,pool,COLSPE-2
-119.65407,34.46,COLSPE,BDF,3,pool,COLSPE-3
-119.65405,34.46,COLSPE,BDF,4,riff,COLSPE-4
-119.654,34.46032,COLSPE,BDF,5,riff,COLSPE-5
-119.65395,34.46038,COLSPE,BDF,6,pool,COLSPE-6
-119.65385,34.46053,COLSPE,BDF,7,riff,COLSPE-7
-119.65385,34.46069,COLSPE,BDF,8,pool,COLSPE-8
-119.65527,34.46094,COLSPW,BDF,1,riff,COLSPW-1
-119.6553,34.46104,COLSPW,BDF,2,pool,COLSPW-2
-119.65532,34.46118,COLSPW,BDF,3,riff,COLSPW-3
-11965536,34.4613,COLSPW,BDF,4,riff,COLSPW-4
-119.65513,34.46166,COLSPW,BDF,5,pool,COLSPW-5
-119.65519,34.46169,COLSPW,BDF,6,riff,COLSPW-6
-119.65532,34.46215,COLSPW,BDF,7,pool,COLSPW-7
-119.65562,34.46249,COLSPW,BDF,8,pool,COLSPW-8
-119.46252,34.41018,GOBERN,BDF,1,pool,GOBERN-1
-119.46256,34.4102,GOBERN,BDF,2,riff,GOBERN-2
-119.4622,34.41074,GOBERN,BDF,3,pool,GOBERN-3
-119.4622,34.41071,GOBERN,BDF,4,riff,GOBERN-4
-119.46182,34.41146,GOBERN,BDF,5,pool,GOBERN-5
-119.46185,34.41147,GOBERN,BDF,6,riff,GOBERN-6
-119.46261,34.4115,GOBERN,BDF,7,pool,GOBERN-7
-119.46264,34.41152,GOBERN,BDF,8,riff,GOBERN-8
-119.63873,34.45556,HOTSPR,BDF,1,pool,HOTSPR-1
-119.63862,34.45607,HOTSPR,BDF,2,riff,HOTSPR-2
-119.63866,34.45636,HOTSPR,BDF,3,pool,HOTSPR-3
